EJUNB_TP	EJUNB_FP	EJUNB_TN	EJUNB_FN
3.603	1.41894623978	0.239	1.965
3.546	1.502	0.217	1.769
3.612	1.345	0.207	1.74
3.609	1.422	0.221	1.624
3.753	1.347	0.233	1.552
3.603	1.24	0.202	1.514
3.232	1.218	0.205	1.662
3.255	1.228	0.221	1.601
3.398	1.259	0.190556229129	1.674
3.332	1.306	0.201	1.584
3.467	1.251	0.195	1.582
3.407	1.347	0.227	1.582
3.074	1.45	0.199	1.582
2.993	1.366	0.253	1.729
3.21556575101	1.407	0.22	1.658
2.888	1.313	0.242	1.819
3.163	1.25770607306	0.242	1.816
2.967	1.281	0.293	1.764
3.032	1.331	0.253585048143	1.825
2.867	1.181	0.253	1.97051713192
2.998	1.162	0.23	1.879
3.086	1.10176633035	0.205	1.81153888395
2.979	1.139	0.219	1.875
3.091	1.13076633035	0.161	1.583
2.826	1.154	0.225	1.6
3.058	1.173	0.176	1.526
2.911	1.195	0.236	1.419
3.009	1.072	0.213	1.39
2.942	1.267	0.21	1.47
2.972	1.113	0.20973613814	1.342
2.896	1.22887103918	0.196	1.417
2.727	1.107	0.226	1.42
2.757	1.211	0.2	1.396
2.728	1.305	0.199	1.436
2.574	1.275	0.226	1.506
2.68	1.113	0.201874391074	1.508
2.536	1.133	0.2	1.413
2.525	1.084	0.19	1.401
2.531	1.092	0.221	1.443
2.46	1.082	0.167	1.261
2.5	0.991	0.232141447643	1.243
2.54	0.898	0.232	1.305
2.505	0.944	0.184	1.352
2.472	0.927	0.211	1.201
2.414	0.943	0.187	1.392
2.135	1.053	0.222	1.313
2.469	0.991	0.179	1.185
2.122	0.961	0.243	1.122
2.318	0.955	0.215708563961	1.188
2.221	0.912	0.255	1.296
2.187	0.892	0.207708563961	1.159
2.113	0.96	0.244	1.115
2.311	0.867	0.262	1.0
2.239	0.888	0.195	1.089
2.294	1.087	0.206	0.936
2.301	0.837	0.194	1.008
2.117	0.916736435589	0.186	0.925
2.138	0.834	0.22	1.041
1.95	0.814	0.222	0.914
2.072	0.904	0.193	1.021
1.961	0.883	0.199	0.903
2.035	0.857	0.215	0.902
1.746	0.895	0.222	0.961
1.88	0.916	0.215	0.902
1.719	0.852	0.209	1.057
1.82	0.867	0.184	0.918449236546
1.719	0.801	0.233	0.97
