CEBPB_TP	CEBPB_FP	CEBPB_TN	CEBPB_FN
1.74310373377	0.447	0.156538734607	0.318
1.734	0.45	0.101	0.256
1.615	0.373	0.131682405256	0.339
1.534	0.444	0.101427854957	0.397
1.588	0.441	0.123832968925	0.37
1.616	0.432216953199	0.054	0.48
1.791	0.431	0.08	0.406
1.68	0.405	0.092	0.371822898736
1.70133226864	0.361	0.101444702102	0.334
1.64723802538	0.383	0.0837085639614	0.319946239778
1.582	0.468	0.0754171279228	0.316
1.377	0.429	0.076	0.316807610522
1.45	0.523	0.0938743910742	0.325
1.56151158577	0.401	0.0844171279228	0.392570775715
1.23691962037	0.382	0.132463210224	0.45
1.40097729505	0.394	0.0797364230393	0.369
1.347	0.414	0.078	0.349357297261
1.31	0.578	0.080065906152	0.322
1.448	0.425	0.103417127923	0.342874391074
1.457	0.481	0.12673613814	0.32
1.433	0.47	0.211869688165	0.300719290995
1.48369346057	0.446	0.148002176066	0.417648778229
1.479	0.512	0.213107109969	0.347578614533
1.4148231729	0.565	0.116673336013	0.344103245995
1.407	0.512	0.147035839701	0.353
1.292	0.46	0.128738314206	0.462059789383
1.288	0.581993766948	0.107	0.324
1.423	0.547504508538	0.169180715443	0.331
1.451	0.559	0.134980784965	0.317
1.51398182588	0.468	0.0955112311309	0.299
1.332	0.452	0.135139075785	0.264
