THAP1_TP	THAP1_FP	THAP1_TN	THAP1_FN
7.82173913043	1.737	0.341606375507	13.6749995319
7.68260869565	1.632	0.3	5.7731092437
7.50869565217	1.794	0.381	7.78151260504
6.97391304348	1.909	0.328	6.79831932773
5.55217391304	1.79086844267	0.314	5.14285714286
6.40434782609	1.784	0.289	5.59663865546
6.78695652174	1.85573778511	0.332	7.40336134454
6.41304347826	1.771	0.314417127923	8.28571428571
6.75217391304	1.795	0.278708563961	7.6218487395
7.10845948389	1.466	0.314	7.52100840336
5.9	1.532	0.323739622401	7.16806722689
6.31739130435	1.602	0.388	9.75630252101
6.25217391304	1.563	0.410708563961	10.1932773109
6.18260869565	1.581	0.332	10.2268907563
6.86956521739	1.541	0.347	9.42016806723
6.69565217391	1.371	0.258	7.82352941176
6.66842094728	1.504	0.394	6.47899159664
7.46086956522	1.427	0.356708563961	5.99159663866
7.87826086957	1.574	0.308683325794	7.19327731092
6.69130434783	1.601	0.379	7.18487394958
5.92608695652	1.701	0.371	5.33613445378
6.08695652174	1.775	0.313	6.74789915966
6.1	1.71116413213	0.336	8.40336134454
7.17826086957	1.752	0.344	5.94117647059
6.31739130435	1.737	0.35	6.66386554622
5.74347826087	1.63870755093	0.282	4.54621848739
6.20869565217	1.496	0.30097277835	4.59663865546
7.26956521739	1.49	0.313	4.82352941176
7.35652173913	1.599	0.291	5.26050420168
7.18695652174	1.83151968071	0.387	4.8487394958
7.73913043478	1.662	0.344	5.94957983193
6.63043478261	1.659	0.355	4.00840336134
7.03043478261	1.523	0.357	4.68067226891
9.88260869565	1.561	0.339572136543	7.7731092437
7.10434782609	1.494	0.32	5.83193277311
7.4	1.52374657257	0.283	5.8487394958
6.61739130435	1.62153468047	0.289	6.67226890756
7.6	1.53627906451	0.337	6.10924369748
7.18260869565	1.577	0.398680277948	5.50420168067
7.64782608696	1.489	0.285	4.66386554622
6.36086956522	1.713	0.283708563961	6.36134453782
6.38260869565	1.698	0.342708563961	6.70588235294
7.58695652174	1.635	0.347	5.26890756303
6.8347826087	1.574	0.375	6.3025210084
6.66086956522	1.54938422943	0.34648455292	7.26890756303
7.1	1.341	0.286	6.98319327731
5.18695652174	1.39281560998	0.319	7.17647058824
7.82608695652	1.733	0.455	9.75630252101
7.19130434783	1.399	0.363	10.268907563
7.61304347826	1.66	0.464	11.8067226891
10.5956521739	2.138	0.509	16.451581554
8.46956521739	1.52	0.378	15.1680672269
7.70869565217	1.418	0.308	11.6722689076
8.61739130435	1.558	0.357	9.51260504202
5.49130434783	1.207	0.244	7.49579831933
7.04782608696	1.314	0.255	7.12605042017
7.87391304348	1.482	0.297	8.87394957983
7.66086956522	1.65	0.372	7.98319327731
7.56956521739	1.726	0.361744982763	8.7731092437
6.05652173913	1.571	0.303	9.45378151261
6.89565217391	1.767	0.33	7.74789915966
6.84347826087	1.557	0.309	6.2268907563
7.59224183963	1.522	0.35	5.18487394958
8.9347826087	1.516	0.344	6.09243697479
7.51304347826	1.443	0.396	4.7731092437
6.85652173913	1.417	0.357	4.81512605042
7.01739130435	1.643	0.392	5.45378151261
8.72608695652	1.805	0.434	6.74789915966
9.11304347826	1.901	0.393	6.53781512605
9.0347826087	1.78652204133	0.324	6.46218487395
7.80869565217	1.637	0.47	8.83806444281
8.81304347826	1.51994265576	0.348	7.32773109244
7.84782608696	1.40830726848	0.34	6.10084033613
6.53913043478	1.552	0.376	6.49579831933
6.39565217391	1.619	0.494	6.6218487395
7.70434782609	1.706	0.498	5.32773109244
7.50434782609	1.722	0.397	7.2268907563
6.92608695652	1.443	0.425	7.26050420168
7.21304347826	1.64339767501	0.394	7.67226890756
7.39130434783	1.557	0.383	7.64705882353
8.52608695652	1.479	0.533	6.46218487395
7.63043478261	1.708	0.355874391074	8.38655462185
8.44347826087	1.461	0.353	5.10924369748
9.91382166836	1.429	0.356	5.7731092437
8.35217391304	1.641	0.373	7.68907563025
7.66086956522	1.527	0.386	5.66386554622
7.52173913043	1.395	0.414	6.32773109244
6.81304347826	1.591	0.313	6.78991596639
7.86956521739	1.554	0.363	6.10084033613
7.24782608696	1.562	0.336708563961	5.90756302521
7.94347826087	1.403	0.369	5.91596638655
8.14782608696	1.422	0.361	4.79831932773
8.95217391304	1.61030288241	0.335743981807	6.45378151261
9.08695652174	1.588	0.35	4.91596638655
9.1	1.485	0.343	5.16806722689
9.46086956522	1.338	0.366970953466	5.54621848739
7.85652173913	1.541	0.396	4.91596638655
8.63043478261	1.399	0.387	6.39495798319
8.47391304348	1.51	0.364	6.41176470588
7.77391304348	1.395	0.374	7.13445378151
7.48695652174	1.457	0.350128976129	6.6218487395
7.6347826087	1.481	0.374874391074	7.66386554622
8.89565217391	1.388	0.346906264937	5.41176470588
8.11739130435	1.326	0.329	5.63025210084
7.48695652174	1.318	0.446	6.21848739496
7.23043478261	1.473	0.449473177982	6.33056184228
7.88260869565	1.45124724033	0.383	5.15966386555
8.29130434783	1.375	0.37773613814	3.99159663866
7.79130434783	1.347	0.448	5.40336134454
7.59565217391	1.466	0.529	6.00840336134
7.65217391304	1.439	0.388	6.94117647059
8.81739130435	1.59510094822	0.395739495545	5.63025210084
9.91873313276	1.316	0.356	6.26890756303
6.82608695652	1.237	0.384744375046	8.24369747899
8.09130434783	1.314	0.383	5.79831932773
7.05652173913	1.349	0.372585048143	5.41176470588
5.98695652174	1.382	0.423	5.21848739496
6.74782608696	1.232	0.413	5.80672268908
7.01304347826	1.231	0.391	6.0
7.78695652174	1.35	0.439	5.63865546218
6.79130434783	1.353	0.454419389983	4.91596638655
6.82173913043	1.419	0.471417127923	4.79831932773
7.7269261749	1.365	0.412	5.89075630252
7.44782608696	1.266	0.353	4.36134453782
6.84782608696	1.389	0.456981310139	4.03361344538
6.66956521739	1.549	0.462	4.31932773109
7.51739130435	1.52	0.397	4.47899159664
7.79130434783	1.477	0.384	4.43697478992
7.82173913043	1.797	0.374	4.59663865546
9.78260869565	1.899	0.443	5.34453781513
8.84347826087	1.42	0.397	5.55462184874
10.9652173913	1.772	0.337	4.57983193277
8.60434782609	1.72924931317	0.307	6.10924369748
8.25217391304	1.617	0.384	3.56302521008
8.25652173913	1.46885805616	0.346	4.29411764706
7.62608695652	1.674	0.358	5.29411764706
8.20869565217	1.429	0.37	4.83193277311
7.5347826087	1.341	0.35	5.83193277311
7.3347826087	1.319	0.418	4.97478991597
6.72173913043	1.533	0.342	4.08403361345
6.96086956522	1.52	0.384	4.54621848739
6.32173913043	1.486	0.35185533755	5.10084033613
6.44782608696	1.284	0.38	6.0595478313
6.92608695652	1.358	0.339	6.14285714286
6.38260869565	1.472	0.34873613814	4.99159663866
7.26956521739	1.32	0.498	5.15966386555
6.28695652174	1.45462298123	0.384	3.87394957983
6.60434782609	1.274	0.377090794708	4.0756302521
5.46956521739	1.382	0.392	4.80672268908
6.50794447443	1.338	0.416659002231	4.52100840336
