EGR1_TP	EGR1_FP	EGR1_TN	EGR1_FN
8.74490167798	2.48663054819	0.419	1.9619230815
8.072	2.48098197811	0.43273360335	2.088
8.197	2.713	0.500245912028	2.197
8.118	2.527	0.461	2.07466657468
9.28834006317	2.528	0.406	1.917
8.035	2.65	0.338389849276	2.072
9.1927176771	3.409	0.410252054181	2.25058063293
8.35972783637	2.91	0.37973360335	1.916
7.98	2.63281027625	0.330247189367	2.056
7.482	2.58466142321	0.425	1.997
6.669	2.861	0.396	1.656
7.305	2.8	0.371247189367	1.897
7.47271393568	2.681	0.352	2.287
6.68072706048	2.65	0.342708563961	1.9974117222
6.814	2.66436760332	0.403	2.109
6.438	2.783	0.513874391074	1.948
6.209	2.69451286045	0.347614281581	1.866
7.082	2.454	0.414	2.026
6.753	2.556	0.362	1.87159544849
6.621	2.436	0.345	1.82
6.241	2.396	0.400591145358	1.994
6.69	2.413	0.372	1.951
6.201	2.72852151693	0.333	1.983
7.006	2.51391819025	0.362882581396	1.872
7.148	2.798	0.359708563961	1.568
6.60794769606	2.731	0.338	1.708
7.028	2.53773984149	0.340946364961	1.724
7.429	2.30406338576	0.326708563961	1.654
7.98568900137	2.636	0.318	1.833
7.507	2.526	0.37	1.63
7.15	2.46	0.386	1.678
7.65460009442	2.5539207824	0.328	1.67785535943
7.127	2.217	0.30673613814	1.848
6.672	2.605	0.378	1.901
6.199	2.785	0.317	2.009
6.48	2.27	0.38335097905	2.069
7.043	2.456	0.378	1.854
7.017	2.375	0.407	1.923
7.196	2.432	0.333	1.813
6.968	2.657	0.37	1.578
6.322	2.69610639733	0.399241503837	1.762
6.759	2.67614073676	0.348	1.684
6.565	2.468	0.341	1.618
6.72273740133	2.561	0.386	1.764
6.906	2.86711650589	0.343	2.07
5.979	2.482	0.362	1.838
6.886	2.425	0.349290838087	1.585
6.345	2.38496677325	0.330885789958	1.616
6.753	2.394	0.359	1.581
6.7	2.335	0.358708563961	1.76727149751
6.60201999204	2.329	0.34	1.359
6.721	2.129	0.331	1.274
6.339	2.304	0.397	1.478
6.034	2.472	0.355	1.518
6.399	2.804	0.34	1.673
6.337	2.184	0.37	1.499
6.433	2.265	0.44	1.532
6.789	2.625	0.391	1.487
6.118	2.22774040049	0.411	1.347
5.974	2.14572829585	0.548	1.653
6.558	2.171	0.453	1.622
6.576	2.197	0.46	1.504
5.869	2.247	0.51	1.396
5.92556856837	2.12	0.469	1.513
6.264	2.124	0.353	1.701
6.616	2.188	0.385	1.521
6.088	2.085	0.471	1.71167339107
6.226	2.38506149168	0.416	1.488
6.368	1.917	0.377	1.239
6.063	1.988	0.472	1.325
6.02764040883	2.31298527925	0.297	1.268
5.718	2.569	0.326	1.465
5.51244005547	2.475	0.412	1.522
5.066	2.129	0.445832968925	1.462
5.002	2.463	0.44	1.545
5.083	2.272	0.392690122523	1.615
5.307	2.373	0.444794307563	1.443
5.23	2.34160881205	0.415	1.499
5.081	2.38	0.333475938274	1.549
5.37391315859	2.211	0.485444702102	1.311
5.239	2.196	0.397195577358	1.293
5.108	2.275	0.413618719194	1.387
4.944	2.204	0.469708563961	1.295
4.755	2.298	0.445708563961	1.212
4.536	2.293	0.355	1.307
4.665	2.487	0.41	1.357
4.45	2.302	0.432708563961	1.27715142072
4.514	2.171	0.328708563961	1.046
4.47798375192	2.37966214153	0.363444659733	1.186
