JUND_TP	JUND_FP	JUND_TN	JUND_FN
2.733	0.806	0.254	1.441
3.015	1.048	0.25	1.83254784029
2.928	1.003	0.288	1.655
2.896	0.881	0.248585048143	1.554
2.903	0.845	0.28	1.6
2.861	1.008	0.233	1.632
2.724	0.851	0.224	1.69503426384
2.807	0.781	0.198	1.471
2.649	0.967532660693	0.208	1.687
2.715	0.948	0.212708563961	1.411
2.494	0.984	0.183883906579	1.247
2.387	0.865	0.214	1.221
2.698	0.776	0.178	1.192
2.751	0.811	0.242	1.221
2.951	0.909	0.251444702102	1.221
2.738	1.00574495578	0.192	1.512
2.432	0.914	0.191	1.108
2.559	0.715	0.209	1.228
2.561	0.755	0.225	1.156
2.583	0.751	0.209	1.341
2.734	0.826	0.201	1.536
2.475	0.742	0.199	1.348
2.307	0.786	0.178	1.449
2.134	0.881	0.173708563961	1.458
2.234	0.886	0.213	1.166
2.09	0.883	0.215141447643	1.191
2.191	0.92	0.189	1.26
2.183	0.897	0.199	1.163
2.349	0.746	0.224	1.011
2.206	0.711	0.179	1.195
2.138	0.805	0.188	1.058
2.214	0.762	0.199	1.057
1.916	0.810688677581	0.227	0.993
2.24	0.692	0.218708563961	1.089
2.261	0.762	0.211	1.181
2.137	0.791	0.175626878206	1.096
2.186	0.7	0.238	1.003
2.173	0.58	0.205	1.069
2.013	0.687	0.185	0.997
2.315	0.603	0.222	0.852
2.216	0.614	0.186	0.968
2.10747516934	0.736	0.194	0.916
2.073	0.606	0.245	1.036
1.801	0.65	0.204	0.977
1.839	0.651	0.226	1.179
1.953	0.622	0.202	0.863
1.936	0.752	0.206	0.874
1.756	0.768	0.231	0.877
2.034	0.763	0.247	0.843
1.67	0.672	0.237	1.047
1.617	0.622	0.197	0.913
1.766	0.67	0.206	0.973
2.49199640058	0.601	0.198	0.893
