BHLHE40_TP	BHLHE40_FP	BHLHE40_TN	BHLHE40_FN
8.46854978398	1.116	0.27873613814	1.256
7.297	1.117	0.283	1.273
5.934	1.123	0.242	1.224
5.301	1.05373385016	0.216	1.303
5.2006926711	0.931	0.216	1.41547900144
5.616	1.086	0.217	1.363
6.095	0.961	0.207	1.186
5.567	0.897	0.238	1.25
5.013	1.037	0.213	0.999
5.145	0.924	0.258856700145	0.984
5.134	0.921714192358	0.21	1.05984707663
5.23	0.848	0.228	1.17286157158
5.577	0.907	0.238708563961	0.913
5.384	0.859	0.235708563961	0.996
5.363	0.839	0.283318716891	0.997
5.399	0.868	0.302	1.15376621497
5.718	0.869	0.255	0.967
5.724	1.055	0.315	0.926
5.502	0.895	0.225860041839	1.265
5.69	0.765	0.26	1.069
5.26085803385	0.812	0.232	1.021
5.36885137578	0.895	0.22	1.875
5.283	0.817	0.184	1.93075297031
5.345	0.979	0.229	1.235
5.391	0.847	0.255	1.117
4.693	0.792	0.253	1.064
5.465	0.863	0.21	1.02
5.571	0.832	0.248	1.017
4.956	0.745	0.243	1.208
4.493	0.85	0.317	1.05
4.543	0.924	0.27	1.08409140459
5.14139686845	0.836	0.236874391074	0.995
4.553	0.799	0.251	1.067
4.435	0.775	0.267	1.08
4.473	0.799	0.227	1.149
4.878	0.966	0.259	1.093
4.438	0.926280164503	0.215	1.037
4.283	0.883	0.221	0.905
4.368	0.844	0.222	0.988
4.423	1.007	0.247585048143	1.38946013742
3.936	0.808	0.289	1.184
4.459	0.854	0.237	1.104
4.692	0.816	0.236708563961	1.058
4.305	0.922	0.22	1.062
4.252	0.818	0.23	1.193
3.836	0.829	0.228	1.08
4.40558588859	0.804	0.243	0.959
4.621	0.797	0.196	0.94
4.529	0.836	0.223	0.888
4.272	0.81	0.206	0.973
4.117	0.857	0.218834255846	0.848977795758
4.285	0.863	0.251	0.956977795758
3.961	0.847	0.247	1.056
4.009	0.885	0.293	0.95
4.49214178952	1.047	0.229	0.894
3.90614178952	0.896	0.244	0.925
3.944	0.88	0.298	0.887
3.622	0.882	0.268	0.87
3.195	0.865	0.285363716673	0.838004703595
3.378	0.87	0.229	0.794
3.338	1.03519453911	0.244711013024	0.919
3.2371201037	0.907	0.291675063467	0.831
3.306	1.085	0.359719494609	1.217
3.809	1.171	0.282	1.4
3.63	0.920885785687	0.252	1.214
3.326	0.914	0.264	1.312
3.498	0.804	0.25	1.15675950314
3.477	0.817	0.242	0.826
3.383	0.754	0.289	0.817
3.75053134415	0.769	0.276	0.925
3.341	0.768	0.247570775715	0.831183610361
3.57	0.855571296057	0.251	0.766058964696
3.358	0.796629819326	0.308	0.72
3.59225380956	0.786	0.251	0.771
3.316	0.817	0.263	0.800980012405
3.242	0.837	0.217	0.816
3.247	0.757002954156	0.189	0.876907414103
3.182	0.832	0.235	0.913909839969
3.83381773727	0.848	0.229	0.892
3.546	0.836	0.259582955036	0.996725755025
