MAFK_TP	MAFK_FP	MAFK_TN	MAFK_FN
2.274	0.88	0.202	0.47278762071
2.507	0.882512736041	0.192	0.525992072045
2.34942932414	0.857	0.297	0.505
2.568	0.878	0.201	0.491463210224
2.675	0.993	0.20173613814	0.464
2.505	0.967	0.209	0.583789401205
2.465	1.007	0.188	0.487
2.517	0.922	0.152	0.558
2.423	0.969	0.175	0.477
2.397	0.871	0.189	0.514
2.318	1.097	0.161708563961	0.527944037416
2.50353851898	1.015	0.167	0.484
2.431	0.834	0.219	0.434
2.658	0.963708563961	0.192	0.583
2.662	0.886	0.171	0.571
2.512	0.818	0.148874391074	0.511
2.578	1.05597468231	0.173	0.634944037416
2.627	0.945	0.145	0.477
2.45	0.916	0.123	0.506
2.735	0.775652076409	0.171	0.554
2.9046980776	0.691798244706	0.129	0.557513762737
2.828	0.748	0.19035097905	0.575
3.183	0.924	0.18	0.657
3.152	0.926519256631	0.176554027642	0.850910651547
3.048	0.774	0.175	0.508
2.805	0.916	0.178	0.590989429394
2.765	0.831	0.177	0.587841360521
2.933	0.903	0.158751866951	0.603
2.879	0.945708563961	0.203	0.559
3.008	0.973	0.207	0.449
3.614	1.104	0.189	0.637234420419
3.38912965773	1.005	0.178	0.541933880688
2.337	0.875	0.235	0.441
2.21007540737	0.88	0.201059543012	0.44
2.011	0.806	0.172	0.368
1.804	0.663	0.121	0.428
1.391	0.674	0.135	0.293
1.531	0.600708563961	0.119708563961	0.379950213118
1.407	0.654569617858	0.168	0.341045015646
1.152	0.597	0.148	0.299
1.298	0.716	0.159	0.309
2.048	1.098	0.214708563961	0.568
1.413	0.775	0.163	0.34673613814
1.851	1.023	0.231	0.569807610522
1.381	0.751	0.139	0.356
1.232	0.604	0.132	0.299
1.446	0.782	0.15	0.304
1.462	0.714	0.130919620366	0.324
1.432	0.608	0.134708563961	0.328
1.623	0.688	0.121585048143	0.355
2.066	0.815089568444	0.194	0.445
2.567	0.905	0.18	0.497
2.147	0.962	0.199	0.479
3.29267034011	1.043	0.199112825497	0.744504185443
3.83656304062	0.898	0.173	0.65
2.92994734273	0.865	0.183	0.616
3.024	0.902226854938	0.163	0.524
2.761	0.834	0.156	0.477
2.77	0.885	0.167	0.574
2.78	0.827	0.189	0.524
2.679	0.741	0.16	0.530057337764
3.404457121	0.954	0.195708563961	0.666
3.132	0.864	0.15	0.574
2.863	0.797	0.163	0.568
2.661	0.789	0.175739622401	0.56
2.365	0.784	0.167914233077	0.519
2.39	0.799	0.183	0.520918314244
2.489	0.81992697429	0.206	0.586
2.368	0.673	0.18	0.53273613814
2.629	0.786	0.211767350943	0.509
2.7145730455	0.913	0.18	0.569
2.618777571	0.916	0.174241503837	0.55
2.497	0.927740738163	0.166	0.586
2.379	0.812	0.154	0.529437730701
2.424	0.89	0.167	0.481
2.75731383926	0.743	0.151	0.516
2.471	0.844	0.126708563961	0.486
2.288	0.883	0.182708563961	0.501
2.438	0.694	0.178	0.502
2.468	0.807	0.192	0.458
2.311	0.75	0.206	0.492079916837
2.346	0.902	0.193	0.531
2.416	0.904	0.147	0.45
2.655	0.877	0.187	0.472
2.478	0.916	0.176	0.486
2.438	0.77	0.176708563961	0.48
2.428	0.663	0.236	0.519
2.502	0.709131489878	0.359	0.468
2.323	0.832	0.177	0.473
2.097	0.802	0.177461166404	0.479736423039
2.157	0.811	0.192	0.417
2.43316391282	0.962657501942	0.182	0.433
2.15	0.91	0.17	0.421
1.963	0.797	0.163	0.479
1.956	0.742995498678	0.177	0.482
2.128	0.788	0.173708563961	0.413
2.165	0.722	0.168493792922	0.46
1.967	0.77	0.176	0.424
2.101	0.821	0.202	0.392
1.991	0.827	0.161	0.479
1.956	0.739	0.196	0.448739622401
2.206	0.81	0.140874391074	0.363
2.043	0.742	0.188826922535	0.327
1.986	0.8	0.145	0.365
2.122	0.729	0.171017391115	0.379
1.923	0.807	0.197	0.358392407945
1.932	0.775	0.186	0.341
2.09822566336	0.741	0.205	0.352
2.029	0.819	0.156	0.371
1.938	0.696	0.154	0.36
2.025	0.837	0.165	0.267
2.018	0.911	0.177	0.349
1.731	0.803	0.176611745735	0.385
1.725	0.853	0.163463210224	0.298
1.86	0.94	0.212	0.351140818892
1.898	0.77	0.211007453335	0.427
1.781	0.709	0.203	0.337
1.772	0.885	0.174708563961	0.375
1.938	0.819	0.221	0.426
1.695	0.828	0.181708563961	0.304
1.946	0.742	0.215	0.331
1.74	0.878	0.14	0.349
1.674	0.749	0.198	0.301179270266
1.817	0.782	0.203	0.262
1.759	0.774	0.260585048143	0.37
1.628	0.781	0.28778762071	0.298
1.706	0.762	0.331	0.364
1.763	0.796	0.282743981807	0.315
1.463	0.785	0.208	0.353
1.551	0.804	0.231	0.3
1.458	0.800069500697	0.206	0.356
1.565	0.857	0.21	0.333
1.548	0.792	0.216	0.380454936837
1.594	0.79	0.196708563961	0.324
1.362	0.897	0.199	0.323
1.446	0.994950043163	0.186	0.359
1.431	0.878	0.226	0.385
1.57	0.794	0.235	0.3
1.771	0.651	0.211	0.35673613814
1.693	0.82	0.214050239759	0.35
1.52816502099	0.878	0.199	0.305
1.444	0.687	0.202585048143	0.312
