CTCFL_TP	CTCFL_FP	CTCFL_TN	CTCFL_FN
5.432	2.313	0.286708563961	2.962
7.15	2.338	0.312	3.611
4.967	3.258	0.31	2.649
5.358	2.623	0.31	2.645
9.18091019208	3.24850742643	0.29953191114	4.4006681214
6.407298222	2.952	0.362845830894	3.133
3.891	2.463	0.282	2.286
3.024	2.296	0.249	2.079
2.991	3.10120319811	0.330708563961	1.86
2.89157783894	2.632	0.304	1.901
2.771	2.121	0.31	1.725
3.215	1.827	0.264	2.042
4.37	2.558	0.399	2.72853748855
4.82406886776	2.271	0.359	2.23767464903
3.788	2.838	0.304125691884	2.275
5.29	2.95253905045	0.396	3.155
4.337	2.386	0.343	2.92484691683
4.53	2.447	0.308	2.665
4.231	2.504	0.376	2.81651296529
5.94	2.904	0.495	3.123
4.64600467342	2.379	0.454	2.169
3.709	2.322	0.345	2.08698179772
4.457	2.689	0.386	2.471
3.076	2.602	0.268	1.782
2.927	2.086	0.361	1.677
2.975	2.188	0.323	1.828
2.938	2.273	0.321	1.722
2.987	1.932	0.264	1.697
3.648	2.038	0.288	2.034
5.78312360124	2.81811385016	0.322	3.085
7.77838092256	3.10461421234	0.378744982763	3.99876790469
5.339	2.248	0.350708563961	2.409
5.099	2.506	0.305	2.69747512996
6.91160391522	2.402	0.278	3.235
5.806	2.459	0.291	2.825
5.583	2.027	0.277700636007	2.293
4.97	1.696	0.287	2.249
5.312	2.017	0.331	2.898
6.11015922919	2.068	0.305	2.742
6.13013954241	2.504	0.344	3.28203739736
5.896	2.353	0.361	3.112
6.116	2.37465226828	0.298	2.88
7.633	2.981	0.300708563961	3.79491065487
6.73469169305	2.661747784	0.344	3.5957853838
5.654	2.103	0.28473613814	2.96
5.73	2.194	0.28	3.169
6.337	2.309	0.278	3.152
6.352	2.575	0.323	3.144
6.051	2.47187439107	0.303	3.352
6.65532209628	2.423	0.325540694028	3.07
7.14125582653	2.429	0.35	3.066
6.98	2.666	0.299	3.45216053019
6.704	2.433	0.321	3.48807396429
6.67	2.393	0.388	3.197
6.171	2.226	0.312	3.063
6.441	2.259	0.34	3.085
6.064	2.508	0.365738852494	3.03
6.1590059152	2.406	0.292	3.08
5.758	2.126	0.271	3.123
5.881	2.16858504814	0.310874391074	2.889
6.26314486417	2.156	0.322	2.936
5.649	2.107	0.33	2.734
5.598	2.331	0.28	2.777
5.921	2.028	0.333	2.641
5.766	1.993	0.299	2.989
5.406	2.026	0.3	2.846
5.125	2.094	0.377	2.921
4.986	2.017	0.354	2.904
5.299	1.899	0.319	2.791
5.04	1.906	0.317	3.27869488997
5.2668377834	1.908	0.304	2.7922252217
5.149	1.869	0.294708563961	2.695
4.877	2.16795731809	0.286	2.613
5.013	1.864	0.332	2.083
4.809	1.693	0.293	2.129
4.897	2.026	0.343	2.23
4.615	1.991	0.287454936837	1.873
4.446	1.797	0.29	2.311
4.463	2.10662332068	0.272141447643	1.965
4.49553295749	1.868	0.304	1.862
4.606	1.838	0.285	2.087
4.176	1.716	0.255	2.242
3.822	1.784	0.283	1.951
4.364	1.66	0.325418907501	1.887
4.53	1.629	0.284	2.062
4.205	1.533	0.312	1.932
3.594	1.568	0.306	1.844
3.422	1.522	0.259	1.783
3.35	1.79364743816	0.273	1.653
3.386	1.909	0.277	1.801
3.405	1.819	0.285	1.735
3.239	1.777	0.316	1.743
3.271	1.711	0.292585217096	1.674
3.328	1.611	0.29	1.557
3.186	1.588	0.271	1.50667764529
2.974	1.529	0.251	1.632
2.887	1.365	0.262	1.673
2.855	1.315	0.275	1.635
2.771	1.326	0.243	1.552
2.924	1.489	0.291	1.453
2.99847345293	1.461	0.287	1.636
3.029	1.461	0.289	1.287
3.371	1.68	0.279	1.236
3.049	1.458	0.276708563961	1.486
2.716	1.604	0.305708563961	1.472
2.638	1.506	0.255	1.229
2.905	1.589	0.273	1.17
2.613	2.19243365989	0.263708563961	1.105
2.756	1.652	0.286	1.097
2.75928732574	1.467	0.352	1.098
2.369	1.653	0.336618865942	1.089
2.541	1.4	0.303708563961	1.082
2.733	1.396	0.240585048143	1.099
2.571	1.732	0.302665135678	1.197775803
2.32	1.51678543068	0.253	1.141
2.14	1.374	0.272	1.157
2.46694399207	1.231	0.270614798388	1.182
