ETS1_TP	ETS1_FP	ETS1_TN	ETS1_FN
7.933	1.831	0.282708563961	5.85401459854
7.135	1.911	0.267	5.61800486618
7.335	2.118	0.242	5.5596107056
7.473	2.072	0.268532771404	6.800486618
7.53896818153	1.845	0.295	6.29440389294
7.118	1.886	0.253	6.800486618
7.246	1.71	0.327344374478	6.20437956204
7.201	2.149	0.288	5.85888077859
7.746	1.983	0.287708563961	5.5596107056
7.508	1.672	0.317	5.45498783455
7.227	1.851	0.293	5.59124087591
7.3558142176	1.961	0.332	6.34549878345
7.44968413402	1.77466952057	0.25	5.32846715328
7.147	1.64957532364	0.295	5.7456050423
6.724	1.725	0.262	5.56934306569
7.065	1.853	0.275	5.14355231144
6.775	1.698	0.283	5.4501216545
7.004	1.95695947862	0.299	5.63746958637
6.488	1.686	0.258	5.65450121655
6.869	1.809	0.263542544524	5.10705596107
7.39760885145	1.601	0.305	5.52311435523
6.907	1.754	0.263	5.1703163017
7.16	1.85406887886	0.292	5.21654501217
7.30030965064	1.595	0.308708563961	5.77858880779
6.899	1.575	0.282	4.93187347932
6.408	1.464	0.299	4.94647201946
6.471	1.333	0.278874391074	4.52798053528
6.671	1.545	0.267	4.62530413625
6.959	1.536	0.326	5.24574209246
6.93726178936	1.568	0.311	4.35523114355
7.167	1.822	0.346	4.06569343066
7.024	1.595	0.332	4.6204379562
6.505	1.666	0.288	4.56447688564
6.724	1.647	0.294582955036	4.50851581509
6.555	1.692	0.303	4.83941605839
6.57393034335	1.997	0.373	4.83454987835
6.082	1.593	0.373210221116	4.71776155718
5.952	1.58	0.317	3.75669099757
5.981	1.418	0.283874391074	4.06812652068
6.03218887421	1.435	0.321125691884	4.68369829684
5.761	1.362	0.366708563961	4.2798053528
6.129	1.257	0.305585048143	4.08515815085
6.201	1.364	0.268	4.21411192214
5.658	1.173	0.258	4.43309002433
5.485	1.58548517173	0.281	4.40875912409
5.64	1.434	0.306	5.00243309002
5.483	1.59695415967	0.332	4.6399026764
5.972	1.55	0.303	4.71532846715
5.927	1.416	0.268	5.21897810219
6.134	1.484	0.336	4.74209245742
6.002581342	1.41	0.268	4.51581508516
5.776	1.497	0.278	4.51457304404
6.19514057121	1.364	0.261	4.44356909658
5.917	1.449	0.264	4.10462287105
5.524	1.442	0.287	4.67639902676
5.663	1.601	0.268	4.16301703163
5.574	1.659	0.275	4.72506082725
5.134	1.7	0.283454936837	4.18281594462
5.74	1.616	0.26	4.77128953771
5.207	1.648	0.259363492883	4.98783454988
5.63	1.502	0.319	4.39090256505
5.335	1.509	0.303	4.03406326034
5.349	1.487	0.319	6.00027684172
5.22	1.87698618713	0.299	4.64476885645
5.312	1.613	0.27273613814	5.1020373572
5.029	1.9106081006	0.31	6.40875912409
5.635	1.81291482052	0.285	4.99756690998
4.911	1.614	0.255	4.25398210039
4.646	1.575	0.261	5.08272506083
