NR2F2_TP	NR2F2_FP	NR2F2_TN	NR2F2_FN
3.002	0.967	0.255	1.162
3.11175410521	1.024	0.239	1.172
3.09	1.13162128587	0.214	1.325
2.885	0.96	0.256	1.383
3.12977018902	0.894	0.31	1.243
2.799	0.936	0.281	1.094
2.782	0.885	0.204	1.121
2.704	0.94	0.227	1.171
2.909	0.909	0.213	1.14
2.83282249439	0.896	0.223	1.122
2.693	0.919	0.233	1.076
2.892	0.951	0.255	1.004
2.83	0.939	0.284	1.108
2.838	0.871	0.239	1.131
2.51516970672	0.907	0.244	1.113
3.207	0.81567347768	0.250089568444	1.262
2.892	0.872	0.264	1.052
2.825	0.963	0.229	1.087
2.93239073451	0.889	0.228	1.096
2.813	0.83	0.238	0.995
2.71491095519	0.847	0.245	1.118
2.78	0.854	0.225	1.014
2.64352645771	0.959	0.22	0.938
2.69	0.92	0.373143474834	0.943
2.491	0.903	0.239	1.007
2.428	0.949	0.229	1.008
2.314	0.985	0.207	0.945
2.67495112902	0.844	0.215585048143	1.037
2.471	0.774	0.226	0.886
2.38722317554	0.746	0.250550605234	0.997
2.59114681546	0.782	0.279585048143	1.137
2.653	0.815	0.205	1.227
2.4	0.736	0.27	1.26772207107
2.545	0.796	0.252	1.292
2.598	0.758	0.238	1.142
2.48	0.692	0.215	1.057
2.433	0.814	0.211125691884	1.004
2.556	0.936	0.261	1.131
2.424	0.934	0.27273613814	1.20171156336
2.27	0.87	0.244	1.011
2.646	0.735	0.222	0.903
2.443	0.867	0.267	0.777
2.409	0.811	0.226	0.908
2.293	0.789	0.233	0.893
2.275	0.795	0.209	0.847
2.402	0.851	0.240834255846	0.818
2.3787204686	0.785	0.22	0.875
